Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1,3601,ADILABAD,360108,ADILABAD (RURAL),36010800101,MPUPS JAMDAPUR,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,63,02_31-100,0.25,25000,25000,18000,4250,2750,
2,3601,ADILABAD,360108,ADILABAD (RURAL),36010800401,MPPS POCHARA,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,70,02_31-100,0.25,25000,25000,18000,4250,2750,
3,3601,ADILABAD,360108,ADILABAD (RURAL),36010800402,ZPHS POCHARA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,138,03_101-250,0.50,50000,50000,36000,8500,5500,
4,3601,ADILABAD,360108,ADILABAD (RURAL),36010800601,MPPS RAMPOOR(P),1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,41,02_31-100,0.25,25000,25000,18000,4250,2750,
5,3601,ADILABAD,360108,ADILABAD (RURAL),36010800701,MPPS BHEEMSERI,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,80,02_31-100,0.25,25000,25000,18000,4250,2750,
6,3601,ADILABAD,360108,ADILABAD (RURAL),36010800702,ZPHS BHEEMSERI,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,115,03_101-250,0.50,50000,50000,36000,8500,5500,
7,3601,ADILABAD,360108,ADILABAD (RURAL),36010800801,MPPS CHANDA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,161,03_101-250,0.50,50000,50000,36000,8500,5500,
8,3601,ADILABAD,360108,ADILABAD (RURAL),36010800802,ZPHS CHANDA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,138,03_101-250,0.50,50000,50000,36000,8500,5500,
9,3601,ADILABAD,360108,ADILABAD (RURAL),36010801001,MPPS LANDASANGVI,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,93,02_31-100,0.25,25000,25000,18000,4250,2750,
10,3601,ADILABAD,360108,ADILABAD (RURAL),36010801003,ZPHS LANDASANGVI,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,74,02_31-100,0.25,25000,25000,18000,4250,2750,
11,3601,ADILABAD,360108,ADILABAD (RURAL),36010801201,MPPS ARLI (B),1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,49,02_31-100,0.25,25000,25000,18000,4250,2750,
12,3601,ADILABAD,360108,ADILABAD (RURAL),36010801402,MPPS SHIVAGHAT,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
13,3601,ADILABAD,360108,ADILABAD (RURAL),36010801701,MPPS YAPALGUDA,1,01_PS,01_Govt_Localbody,Elementary,14_301 to 400,308,04_251-1000,0.75,75000,75000,54000,12750,8250,
14,3601,ADILABAD,360108,ADILABAD (RURAL),36010801702,MPPS KOTHA GUDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,38,02_31-100,0.25,25000,25000,18000,4250,2750,
15,3601,ADILABAD,360108,ADILABAD (RURAL),36010801704,TWPS MATHADIGUDA,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
16,3601,ADILABAD,360108,ADILABAD (RURAL),36010801901,TWPS CHITYALBORI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
17,3601,ADILABAD,360108,ADILABAD (RURAL),36010801902,MPUPS KACHKANTI,2,02_UPS,01_Govt_Localbody,Elementary,10_81 to 90,87,02_31-100,0.25,25000,25000,18000,4250,2750,
18,3601,ADILABAD,360108,ADILABAD (RURAL),36010802003,MPUPS TANTOLI,2,02_UPS,01_Govt_Localbody,Elementary,11_91 to 100,95,02_31-100,0.25,25000,25000,18000,4250,2750,
19,3601,ADILABAD,360108,ADILABAD (RURAL),36010802201,TWPS BHURNOOR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
20,3601,ADILABAD,360108,ADILABAD (RURAL),36010802302,MPUPS LOKARI,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,52,02_31-100,0.25,25000,25000,18000,4250,2750,
21,3601,ADILABAD,360108,ADILABAD (RURAL),36010802401,MPPS ANKOLI,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,172,03_101-250,0.50,50000,50000,36000,8500,5500,
22,3601,ADILABAD,360108,ADILABAD (RURAL),36010802404,ZPHS ANKOLI,7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,294,04_251-1000,0.75,75000,75000,54000,12750,8250,
23,3601,ADILABAD,360108,ADILABAD (RURAL),36010802608,TW ASHRAM HIGH SCHOOL BOYS CHINCHUGHAT,6,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,155,03_101-250,0.50,50000,50000,36000,8500,5500,
24,3601,ADILABAD,360108,ADILABAD (RURAL),36010802611,MPPS K B COLONY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
25,3601,ADILABAD,360108,ADILABAD (RURAL),36010802613,MPPS MALEBORIGAON,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
26,3601,ADILABAD,360108,ADILABAD (RURAL),36010802614,MPPS ANKAPOOR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
27,3601,ADILABAD,360108,ADILABAD (RURAL),36010802618,TWPS NEW CHINCHUGHAT,1,01_PS,08_TW (Dept),Elementary,07_51 to 60,56,02_31-100,0.25,25000,25000,18000,4250,2750,
28,3601,ADILABAD,360108,ADILABAD (RURAL),36010802801,TWPS ASODA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
29,3601,ADILABAD,360108,ADILABAD (RURAL),36010802901,TWPS DARLODDY P,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
30,3601,ADILABAD,360108,ADILABAD (RURAL),36010802902,TWPS LINGIGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
31,3601,ADILABAD,360108,ADILABAD (RURAL),36010802904,TWPS DHAHIGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
32,3601,ADILABAD,360108,ADILABAD (RURAL),36010802905,MPUPS PIPPALDHARI,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,51,02_31-100,0.25,25000,25000,18000,4250,2750,
33,3601,ADILABAD,360108,ADILABAD (RURAL),36010802906,TWPS BOPPAPUR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
34,3601,ADILABAD,360108,ADILABAD (RURAL),36010803002,TWPS WANWAT,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
35,3601,ADILABAD,360108,ADILABAD (RURAL),36010803006,TW ASHRAM HIGH SCHOOL GIRLS MAMDIGUDA,6,03_HS,08_TW (Dept),sec_hsec,14_301 to 400,349,04_251-1000,0.75,75000,75000,54000,12750,8250,
36,3601,ADILABAD,360108,ADILABAD (RURAL),36010803007,TWUPS MAMDIGUDA,2,02_UPS,08_TW (Dept),Elementary,08_61 to 70,69,02_31-100,0.25,25000,25000,18000,4250,2750,
37,3601,ADILABAD,360108,ADILABAD (RURAL),36010803008,TW ASHRAM HIGH SCHOOL WANWAT,6,03_HS,08_TW (Dept),sec_hsec,13_201 to 300,211,03_101-250,0.50,50000,50000,36000,8500,5500,
38,3601,ADILABAD,360108,ADILABAD (RURAL),36010803201,TWPS POTHAGUDA,1,01_PS,08_TW (Dept),Elementary,12_101 to 200,103,03_101-250,0.50,50000,50000,36000,8500,5500,
39,3601,ADILABAD,360108,ADILABAD (RURAL),36010803207,MPPS KHANDALA(U),1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,34,02_31-100,0.25,25000,25000,18000,4250,2750,
40,3601,ADILABAD,360108,ADILABAD (RURAL),36010803208,MPPS LOHARA,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,63,02_31-100,0.25,25000,25000,18000,4250,2750,
41,3601,ADILABAD,360108,ADILABAD (RURAL),36010803701,TWPS ALLIKORI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
42,3601,ADILABAD,360108,ADILABAD (RURAL),36010803703,TWPS KHANAPOOR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
43,3601,ADILABAD,360108,ADILABAD (RURAL),36010803704,TW ASHRAM HIGH SCHOOL KHANAPOOR,6,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,195,03_101-250,0.50,50000,50000,36000,8500,5500,
44,3601,ADILABAD,360108,ADILABAD (RURAL),36010803706,MPPS HATHIGUTTA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
45,3601,ADILABAD,360108,ADILABAD (RURAL),36010803707,TWPS BORINGGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
46,3601,ADILABAD,360108,ADILABAD (RURAL),36010803709,MPPS TIPPA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
47,3601,ADILABAD,360108,ADILABAD (RURAL),36014102368,TWPS MAMIDIKHORI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
48,3601,ADILABAD,360109,ADILABAD (URBAN),36010801802,MPUPS ANUKUNTA,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,47,02_31-100,0.25,25000,25000,18000,4250,2750,
49,3601,ADILABAD,360109,ADILABAD (URBAN),36010801805,MPPS BANGARIGUDA ANUKUNTA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,166,03_101-250,0.50,50000,50000,36000,8500,5500,
50,3601,ADILABAD,360109,ADILABAD (URBAN),36010801807,TGMS BANGARIGUDA ADILABAD,5,04_HSS,03_Model Schools,sec_hsec,18_701 to 800,712,04_251-1000,0.75,75000,75000,54000,12750,8250,
51,3601,ADILABAD,360109,ADILABAD (URBAN),36010801808,MPPS BANGARIGUDA (UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,115,03_101-250,0.50,50000,50000,36000,8500,5500,
52,3601,ADILABAD,360109,ADILABAD (URBAN),36010900101,GOVT. PS BALAK MANDIR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,148,03_101-250,0.50,50000,50000,36000,8500,5500,
53,3601,ADILABAD,360109,ADILABAD (URBAN),36010900105,GOVT  UPS KHANAPUR STREET (UM),6,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,296,04_251-1000,0.75,75000,75000,54000,12750,8250,
54,3601,ADILABAD,360109,ADILABAD (URBAN),36010900106,GOVT  PS CHILUKURI LAXMINAGAR (UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,101,03_101-250,0.50,50000,50000,36000,8500,5500,
55,3601,ADILABAD,360109,ADILABAD (URBAN),36010900110,GOVT. PS KOLIPURA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,42,02_31-100,0.25,25000,25000,18000,4250,2750,
56,3601,ADILABAD,360109,ADILABAD (URBAN),36010900111,GOVT. HS KOLIPURA,7,03_HS,01_Govt_Localbody,sec_hsec,08_61 to 70,63,02_31-100,0.25,25000,25000,18000,4250,2750,
57,3601,ADILABAD,360109,ADILABAD (URBAN),36010900201,MPPS SUNDARAIAH NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,64,02_31-100,0.25,25000,25000,18000,4250,2750,
58,3601,ADILABAD,360109,ADILABAD (URBAN),36010900202,MPPS RIKSHA COLONY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
59,3601,ADILABAD,360109,ADILABAD (URBAN),36010900203,GOVT. PS HAMEED PURA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,161,03_101-250,0.50,50000,50000,36000,8500,5500,
60,3601,ADILABAD,360109,ADILABAD (URBAN),36010900204,GOVT. PS PANJESHA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
61,3601,ADILABAD,360109,ADILABAD (URBAN),36010900205,GOVT. PS VENKATRAO PET,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
62,3601,ADILABAD,360109,ADILABAD (URBAN),36010900206,GOVT. PS QURSHEED NAGAR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
63,3601,ADILABAD,360109,ADILABAD (URBAN),36010900207,GOVT. PS HAMALIWADA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,129,03_101-250,0.50,50000,50000,36000,8500,5500,
64,3601,ADILABAD,360109,ADILABAD (URBAN),36010900208,MPPS RANADIVENAGAR,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,254,04_251-1000,0.75,75000,75000,54000,12750,8250,
65,3601,ADILABAD,360109,ADILABAD (URBAN),36010900209,GOVT  UPS LAXMI NAGAR HM,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,140,03_101-250,0.50,50000,50000,36000,8500,5500,
66,3601,ADILABAD,360109,ADILABAD (URBAN),36010900210,GOVT. PS VIDYA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,110,03_101-250,0.50,50000,50000,36000,8500,5500,
67,3601,ADILABAD,360109,ADILABAD (URBAN),36010900211,GOVT. PS SHANTHI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,39,02_31-100,0.25,25000,25000,18000,4250,2750,
68,3601,ADILABAD,360109,ADILABAD (URBAN),36010900212,GOVT  PS TIRPALLY HM,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,76,02_31-100,0.25,25000,25000,18000,4250,2750,
69,3601,ADILABAD,360109,ADILABAD (URBAN),36010900213,GOVT  PS KRANTHI NAGAR (UM),1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,60,02_31-100,0.25,25000,25000,18000,4250,2750,
70,3601,ADILABAD,360109,ADILABAD (URBAN),36010900214,GOVT  PS RPL (TM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,127,03_101-250,0.50,50000,50000,36000,8500,5500,
71,3601,ADILABAD,360109,ADILABAD (URBAN),36010900215,GOVT. PS MAHALAXMIWADA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,182,03_101-250,0.50,50000,50000,36000,8500,5500,
72,3601,ADILABAD,360109,ADILABAD (URBAN),36010900216,GOVT. PS BHUKTAPUR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
73,3601,ADILABAD,360109,ADILABAD (URBAN),36010900236,GOVT  UPS QURSHIDNAGAR (UM),2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,152,03_101-250,0.50,50000,50000,36000,8500,5500,
74,3601,ADILABAD,360109,ADILABAD (URBAN),36010900241,GOVT. UPS BRAHMAN WADA,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,160,03_101-250,0.50,50000,50000,36000,8500,5500,
75,3601,ADILABAD,360109,ADILABAD (URBAN),36010900242,GOVT. UPS NGOS,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,182,03_101-250,0.50,50000,50000,36000,8500,5500,
76,3601,ADILABAD,360109,ADILABAD (URBAN),36010900243,GOVT. UPS KHANAPUR STREET,6,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,203,03_101-250,0.50,50000,50000,36000,8500,5500,
77,3601,ADILABAD,360109,ADILABAD (URBAN),36010900246,GOVT. PS QUILLA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,122,03_101-250,0.50,50000,50000,36000,8500,5500,
78,3601,ADILABAD,360109,ADILABAD (URBAN),36010900247,GOVT. PS THATIGUDA,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,66,02_31-100,0.25,25000,25000,18000,4250,2750,
79,3601,ADILABAD,360109,ADILABAD (URBAN),36010900248,GOVT. UPS OLD BUS STATION,2,02_UPS,01_Govt_Localbody,Elementary,11_91 to 100,99,02_31-100,0.25,25000,25000,18000,4250,2750,
80,3601,ADILABAD,360109,ADILABAD (URBAN),36010900250,GOVT. UPS BHUKTAPUR,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,116,03_101-250,0.50,50000,50000,36000,8500,5500,
81,3601,ADILABAD,360109,ADILABAD (URBAN),36010900266,GOVT  PS RPL (UM),1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,77,02_31-100,0.25,25000,25000,18000,4250,2750,
82,3601,ADILABAD,360109,ADILABAD (URBAN),36010900268,GOVT. HS RPL,7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,280,04_251-1000,0.75,75000,75000,54000,12750,8250,
83,3601,ADILABAD,360109,ADILABAD (URBAN),36010900269,GOVT. HS MAHALAXMIWADA,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,357,04_251-1000,0.75,75000,75000,54000,12750,8250,
84,3601,ADILABAD,360109,ADILABAD (URBAN),36010900271,GOVT. HS NO.2 BOKKALGUDA,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,339,04_251-1000,0.75,75000,75000,54000,12750,8250,
85,3601,ADILABAD,360109,ADILABAD (URBAN),36010900272,GOVT. HS GIRLS BHUKTAPUR,7,03_HS,01_Govt_Localbody,sec_hsec,17_601 to 700,611,04_251-1000,0.75,75000,75000,54000,12750,8250,
86,3601,ADILABAD,360109,ADILABAD (URBAN),36010900273,GOVT. HS HINDI,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,77,02_31-100,0.25,25000,25000,18000,4250,2750,
87,3601,ADILABAD,360109,ADILABAD (URBAN),36010900275,TW ASHRAM HIGH SCHOOL GIRLS BHUKTAPUR,6,03_HS,08_TW (Dept),sec_hsec,14_301 to 400,398,04_251-1000,0.75,75000,75000,54000,12750,8250,
88,3601,ADILABAD,360109,ADILABAD (URBAN),36010900276,TW ASHRAM HIGH SCHOOL BOYS WARD -19,6,03_HS,08_TW (Dept),sec_hsec,15_401 to 500,484,04_251-1000,0.75,75000,75000,54000,12750,8250,
89,3601,ADILABAD,360109,ADILABAD (URBAN),36010900297,GOVT  PS TATIGUDA (UM),1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,54,02_31-100,0.25,25000,25000,18000,4250,2750,
90,3601,ADILABAD,360109,ADILABAD (URBAN),36010900298,GOVT. HS TATIGUDA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,102,03_101-250,0.50,50000,50000,36000,8500,5500,
91,3601,ADILABAD,360109,ADILABAD (URBAN),36010900299,KGBV ADILABAD (Rural),5,04_HSS,04_KGBV,sec_hsec,14_301 to 400,361,04_251-1000,0.75,75000,75000,54000,12750,8250,
92,3601,ADILABAD,360109,ADILABAD (URBAN),36010990201,MPPS GANDHI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,102,03_101-250,0.50,50000,50000,36000,8500,5500,
93,3601,ADILABAD,360109,ADILABAD (URBAN),36010990219,GOVT. JUNIOR COLLEGE (GIRLS) ADILABAD,11,05_JRC,01_Govt_Localbody,sec_hsec,18_701 to 800,769,04_251-1000,0.75,75000,75000,54000,12750,8250,
94,3601,ADILABAD,360109,ADILABAD (URBAN),36010990310,GOVT. HS QUILLA,7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,287,04_251-1000,0.75,75000,75000,54000,12750,8250,
95,3601,ADILABAD,360109,ADILABAD (URBAN),36010990315,"GOVT. JUNIOR COLLEGE  (BOYS), ADILABAD",11,05_JRC,01_Govt_Localbody,sec_hsec,21_1001 to 1500,1157,05_g1000,1.00,100000,100000,72000,17000,11000,
96,3601,ADILABAD,360109,ADILABAD (URBAN),36010990321,KGBV ADILABAD,5,04_HSS,04_KGBV,sec_hsec,14_301 to 400,367,04_251-1000,0.75,75000,75000,54000,12750,8250,
97,3601,ADILABAD,360109,ADILABAD (URBAN),36010990325,ZPHS RANADIVENAGAR,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,351,04_251-1000,0.75,75000,75000,54000,12750,8250,
98,3601,ADILABAD,360109,ADILABAD (URBAN),36010990330,"GOVT SPORTS SCHOOL, SHANTI NAGAR, ADILABAD",6,03_HS,06_Other State Govt.,sec_hsec,12_101 to 200,184,03_101-250,0.50,50000,50000,36000,8500,5500,
99,3601,ADILABAD,360109,ADILABAD (URBAN),36011000101,MPPS H B COLONY,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,76,02_31-100,0.25,25000,25000,18000,4250,2750,
100,3601,ADILABAD,360109,ADILABAD (URBAN),36011000109,MPPS KB COLONY,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,87,02_31-100,0.25,25000,25000,18000,4250,2750,
101,3601,ADILABAD,360109,ADILABAD (URBAN),36011000206,MPUPS KRK COLONY (TM),2,02_UPS,01_Govt_Localbody,Elementary,14_301 to 400,348,04_251-1000,0.75,75000,75000,54000,12750,8250,
102,3601,ADILABAD,360109,ADILABAD (URBAN),36011000211,MPUPS KRK COLONY (UM),6,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,353,04_251-1000,0.75,75000,75000,54000,12750,8250,
103,3601,ADILABAD,360109,ADILABAD (URBAN),36011000232,MPUPS RAMNAGAR,2,02_UPS,01_Govt_Localbody,Elementary,11_91 to 100,93,02_31-100,0.25,25000,25000,18000,4250,2750,
104,3601,ADILABAD,360109,ADILABAD (URBAN),36011000233,MPPS DURGANAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,94,02_31-100,0.25,25000,25000,18000,4250,2750,
105,3601,ADILABAD,360109,ADILABAD (URBAN),36011000234,MPPS SUBHASH NAGAR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
106,3601,ADILABAD,360109,ADILABAD (URBAN),36011000236,MPPS SARASWATHI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,102,03_101-250,0.50,50000,50000,36000,8500,5500,
107,3601,ADILABAD,360109,ADILABAD (URBAN),36011000237,MPPS SHAD NAGAR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
108,3601,ADILABAD,360109,ADILABAD (URBAN),36011000239,MPUPS SUBHASH NAGAR,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,131,03_101-250,0.50,50000,50000,36000,8500,5500,
109,3601,ADILABAD,360109,ADILABAD (URBAN),36011000242,ZPHS RAM NAGAR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,170,03_101-250,0.50,50000,50000,36000,8500,5500,
110,3601,ADILABAD,360109,ADILABAD (URBAN),36011000243,ZPHS SARASWATHI NAGAR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,190,03_101-250,0.50,50000,50000,36000,8500,5500,
111,3601,ADILABAD,360109,ADILABAD (URBAN),36011000244,MPPS RAMNAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,98,02_31-100,0.25,25000,25000,18000,4250,2750,
112,3601,ADILABAD,360109,ADILABAD (URBAN),36011000245,MPPS PITTALAWADA,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,73,02_31-100,0.25,25000,25000,18000,4250,2750,
113,3601,ADILABAD,360109,ADILABAD (URBAN),36011000250,MPPS DASNAPUR,1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,59,02_31-100,0.25,25000,25000,18000,4250,2750,
114,3601,ADILABAD,360109,ADILABAD (URBAN),36011000251,MPPS BALAJI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,41,02_31-100,0.25,25000,25000,18000,4250,2750,
115,3601,ADILABAD,360109,ADILABAD (URBAN),36011000255,MPPS PITTALWADA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,43,02_31-100,0.25,25000,25000,18000,4250,2750,
116,3601,ADILABAD,360109,ADILABAD (URBAN),36014101478,KGBV MAVALA,7,03_HS,04_KGBV,sec_hsec,12_101 to 200,127,03_101-250,0.50,50000,50000,36000,8500,5500,
117,3601,ADILABAD,360113,BAZARHATHNOOR,36011300201,TWPS DEDRA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
118,3601,ADILABAD,360113,BAZARHATHNOOR,36011300202,TWPS GIRJAI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
119,3601,ADILABAD,360113,BAZARHATHNOOR,36011300301,TWPS BHUTAI K,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
120,3601,ADILABAD,360113,BAZARHATHNOOR,36011300302,MPPS BHUTAI,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,124,03_101-250,0.50,50000,50000,36000,8500,5500,
121,3601,ADILABAD,360113,BAZARHATHNOOR,36011300303,ZPHS BHUTAI,7,03_HS,01_Govt_Localbody,sec_hsec,10_81 to 90,85,02_31-100,0.25,25000,25000,18000,4250,2750,
122,3601,ADILABAD,360113,BAZARHATHNOOR,36011300501,TWPS GOKONDA,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
123,3601,ADILABAD,360113,BAZARHATHNOOR,36011300502,MPUPS BURKAPALLE,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,65,02_31-100,0.25,25000,25000,18000,4250,2750,
124,3601,ADILABAD,360113,BAZARHATHNOOR,36011300601,MPPS YESAPUR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
125,3601,ADILABAD,360113,BAZARHATHNOOR,36011300701,MPPS MORKHANDI,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
126,3601,ADILABAD,360113,BAZARHATHNOOR,36011300702,TWPS UPPER PALLE,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
127,3601,ADILABAD,360113,BAZARHATHNOOR,36011300703,TWPS GULAB TANDA,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,31,02_31-100,0.25,25000,25000,18000,4250,2750,
128,3601,ADILABAD,360113,BAZARHATHNOOR,36011300801,MPPS HARKAI,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,31,02_31-100,0.25,25000,25000,18000,4250,2750,
129,3601,ADILABAD,360113,BAZARHATHNOOR,36011301001,MPUPS KINNERPALLE,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
